ENTREZ.ID	GENE.NAME	DEGREE	Closeness	Bet	CC	Cl	Clnorm	SP	PR	sgG5	BRIDGE_sgG5	PROB_sgG5	MIX_sgG5	BR_CONSENSUS	BR_CONSENSUS_MAD	BR_CONSENSUS_ADJ
2932	2932	42	0.336	26743.1106957166	0.00929152148664344	69555	0.318098444339748	2	0.00552429829217993	14	0.70770015220171	0.999999999999999	0.761904761904762	0.70770015220171	0	1.82690101676638
6772	6772	13	0.317	8241.7693960802	0.0641025641025641	51119	0.233769857424493	1	0.00179264623467109	66	0.640589695091746	0.99999981764462	0.692307692307692	0.640589695091746	0	1.53094713340586
5578	5578	20	0.322	12877.124489273	0.0421052631578947	60593	0.277105127137832	1	0.00261309639457478	78	0.664746585908756	0.999999244139858	0.75	0.664746585908756	0	1.6374778583493
5170	5170	8	0.288	3314.54352262836	0.0357142857142857	15433	0.0705375970286477	2	0.00121540998633536	58	0.405636020412784	0.999999994912916	0.5	0.405636020412784	0	0.494812745032904
2782	2782	13	0.265	2380.45328022048	0.0641025641025641	13098	0.0598570128212752	2	0.00172394518561659	37	0.295262332684154	1	0.230769230769231	0.295262332684154	0	0.00807009849445504
4735	4735	6	0.271	946.511047500735	0.133333333333333	12492	0.0570850924659571	3	0.000846348051262391	12	0.350718089619347	0.999999893117429	0.333333333333333	0.350718089619347	0	0.252627315453576
253260	253260	5	0.288	466.686455446871	0.2	20621	0.09426816271081	2	0.000692352819329633	14	0.239282083512471	0.999992580632671	0.4	0.239282083512471	0	-0.238800103964486
84335	84335	2	0.246	22.3640737036031	0	3989	0.0181912990975249	3	0.000341447917607815	14	0.293432358389728	0.981330858005367	0.5	0.293432358389728	0	0
7249	7249	8	0.299	2607.6892935946	0.0714285714285714	31789	0.145352001866243	2	0.00108675840370957	79	0.46454459095769	0.999954739893163	0.625	0.46454459095769	0	0.754596703699956
5300	5300	10	0.276	3008.23271547124	0.0666666666666667	13280	0.0606895037530704	3	0.00145482993758591	4	0.461204168812551	0.999999998257217	0.5	0.461204168812551	0	0.739865602937262
6009	6009	5	0.266	420.761506588243	0	6313	0.0288215679189099	2	0.000749833574579425	88	0.47948081429371	0.999885232906623	0.6	0.47948081429371	0	0.820464729182065
5066	5066	2	0.232	86.0062915390432	0	1743	0.00791781210405222	3	0.000412641053426472	66	0.293432358389728	0.988941920072898	0.5	0.293432358389728	0	0
53616	53616	5	0.267	312.437057767095	0.1	13791	0.0630268821384954	2	0.000686913935731421	79	0.259451480947565	0.99999031544074	0.4	0.259451480947565	0	-0.149854032770591
23513	23513	20	0.301	10922.9774263918	0.0210526315789474	33767	0.154399623092018	2	0.00291198182191332	7	0.62674177009504	0.999999999999963	0.6	0.62674177009504	0	1.4698784511803
1739	1739	15	0.279	5390.43786282867	0.00952380952380952	20545	0.0939205291348956	3	0.00216330530014725	7	0.476959106126713	0.999999999999993	0.466666666666667	0.476959106126713	0	0.809344117628163
10971	10971	7	0.301	504.149785842283	0.380952380952381	40953	0.187269292519932	1	0.000912195828535613	79	0.211703740224924	0.999999998135225	0.285714285714286	0.211703740224924	0	-0.360419269502656
7164	7164	5	0.266	522.757529085774	0.2	10308	0.0470952012844146	2	0.000704830265317274	42	0.295059090767835	0.999994842353749	0.4	0.295059090767835	0	0.00717381143299614
5058	5058	22	0.319	13142.6623138344	0.0346320346320346	60477	0.276574528521963	1	0.00290359846295021	86	0.696260299129219	0.999999999769959	0.727272727272727	0.696260299129219	0	1.77645181573755
10987	10987	15	0.288	3822.08552432256	0.0285714285714286	21972	0.10044780693529	2	0.00201251569983631	54	0.65510209071771	0.999999805110967	0.666666666666667	0.65510209071771	0	1.59494609910104
11345	11345	15	0.301	8932.61154533708	0.0285714285714286	35289	0.161361442862305	1	0.00221214257075062	83	0.525881757895167	0.999999999842595	0.6	0.525881757895167	0	1.02509065548059
10419	10419	14	0.307	8511.33834842956	0	31770	0.145265093472265	2	0.00206439473634345	84	0.662478486012559	0.999999999726011	0.642857142857143	0.662478486012559	0	1.62747564705414
5127	5127	6	0.272	596.510363881534	0.0666666666666667	13160	0.0601406086332054	2	0.000806405464355596	79	0.372663241789974	0.999981743245882	0.5	0.372663241789974	0	0.349404379498789
10458	10458	13	0.319	3728.71945790819	0.0384615384615385	55923	0.255743958723087	1	0.0016409986155635	9	0.682553014066303	0.999795663754792	0.846153846153846	0.682553014066303	0	1.71600334884583
