ENTREZ.ID,GENE.NAME,DEGREE,Closeness,Bet,CC,Cl,Clnorm,SP,PR,sgG5,BRIDGE_sgG5,PROB_sgG5,MIX_sgG5,BR_CONSENSUS,BR_CONSENSUS_MAD,BR_CONSENSUS_ADJ,DE,sub
493856,493856,4,0.23800000000000002,570.45409051415,0,2487,0.011320961847214999,4,6.73475302909254e-4,44,0.276367488750997,0.999998847146448,0.25,0.276367488750997,0,-0.0752552531470324,0,21.084956548638612
91452,91452,2,0.201,55.2935786660665,0,477,0.00212696858947677,4,4.43578215263029e-4,44,0.29343235838972803,0.986534809520422,0.5,0.29343235838972803,0,0,0,3.2730882017761522
28970,28970,1,0.218,0,NA,885,0.003993211997017671,3,2.5372944912878197e-4,50,0,0.995718363463368,0,0,0,-1.2940225668077099,0,5.737365108494581
883,883,1,0.218,0,NA,885,0.003993211997017671,3,2.5372944912878197e-4,50,0,0.995718363463368,0,0,0,-1.2940225668077099,0,5.73736510849458
83451,83451,2,0.221,75.8814075557412,0,1070,0.0048394253068095,3,4.12037704136448e-4,50,0,0.999982338165262,0,0,0,-1.2940225668077099,0,7.3391271240190274
10767,10767,1,0.21899999999999997,0,NA,836,0.0037690798230728103,3,2.70400634240318e-4,13,0,0.995392437241818,0,0,0,-1.2940225668077099,0,8.346003009632158
9885,9885,3,0.23600000000000002,47.1548706215323,0,1683,0.00764336454411973,2,5.9026356338571e-4,38,0,0.999999998675268,0,0,0,-1.2940225668077099,0,40.83344873321681
80262,80262,2,0.187,461.318909165707,0,199,8.553615617895809e-4,5,5.037094293898401e-4,22,0,0.999994746586069,0,0,0,-1.2940225668077099,0,2.5320509239753295
22931,22931,1,0.21600000000000003,0,NA,847,0.0038193952090604297,3,2.50473049581654e-4,83,0,0.992482405630198,0,0,0,-1.2940225668077099,1,4.932755485444783
11311,11311,1,0.19399999999999998,0,NA,295,0.0012944776576815599,4,2.8786868432843397e-4,44,0,0.9930600387346679,0,0,0,-1.2940225668077099,0,2.009990787076478
25813,25813,2,0.19,0,1,212,9.14825199774953e-4,4,5.53168527692279e-4,18,0,1,0,0,0,-1.2940225668077099,0,3.1566770483016136
54927,54927,3,0.23399999999999999,2480,0.33333333333333304,2621,0.0119338947310643,3,6.96692184812529e-4,18,0.284179436498786,1,0.33333333333333304,0.284179436498786,0,-0.0408049398556283,0,66.2863984196874
84303,84303,2,0.19,0,1,212,9.14825199774953e-4,4,5.53168527692e-4,18,0,1,0,0,0,-1.2940225668077099,1,3.156677048301614
347,347,4,0.22699999999999998,802.235908699,0,1455,0.0066004638163762895,2,7.426402457451519e-4,11,0.40607101600750395,0.999954027554198,0.5,0.40607101600750395,0,0.49673105465328404,0,24.199782798367128
51090,51090,2,0.20199999999999999,13.1773965648896,0,702,0.00315614693922359,3,4.20380265305017e-4,11,0,0.9999904303574051,0,0,0,-1.2940225668077099,1,4.360183983773927
4191,4191,1,0.20600000000000002,0,NA,419,0.0018616692815420302,4,3.0554477847787997e-4,4,0,0.992988047808765,0,0,0,-1.2940225668077099,2,3.065523179552417
539,539,1,0.20600000000000002,0,NA,419,0.0018616692815420302,4,3.0554477847787997e-4,4,0,0.992988047808765,0,0,0,-1.2940225668077099,0,3.065523179552418
5834,5834,1,0.21,0,NA,628,0.00281766161530686,4,2.74313432218011e-4,24,0,0.9937600000000001,0,0,0,-1.2940225668077099,0,3.0884988498946178
2539,2539,1,0.22,0,NA,1756,0.00797727574203759,3,2.50875940024325e-4,19,0,0.992299053425317,0,0,0,-1.2940225668077099,0,11.747857745009808
2946,2946,1,0.162,0,NA,22,4.57412599887476e-5,4,4.2939323567002996e-4,41,0,0.9998424204223129,0,0,0,-1.2940225668077099,1,1.5939210802332906
7417,7417,3,0.226,2653.14368986336,0,903,0.00407554626499742,2,7.771637804130769e-4,51,0.296768410171174,0.9999770061467479,0.33333333333333304,0.296768410171174,0,0.0147118276693146,1,16.564067224619702
4522,4522,1,0.225,0,NA,828,0.0037324868150818103,2,2.7896345113734197e-4,19,0,0.992299053425317,0,0,0,-1.2940225668077099,0,14.229175353578318
64853,64853,1,0.225,0,NA,1317,0.00596923442853157,3,2.56461965461408e-4,19,0,0.992299053425317,0,0,0,-1.2940225668077099,0,13.64633529424152
4259,4259,6,0.20199999999999999,1402.0908911112301,0,863,0.0038925812250424296,3,0.00116848582246147,44,0.269697807254938,0.99999997548762,0.33333333333333304,0.269697807254938,0,-0.10466822728759101,0,9.92853875519671
57447,57447,1,0.182,0,NA,144,6.03784631851469e-4,4,2.9988720830618397e-4,25,0,0.99635152284264,0,0,0,-1.2940225668077099,0,1.8066076913858389
81567,81567,2,0.231,1241,0,2410,0.0109687541453017,3,5.34126409362296e-4,68,0,0.999901723890803,0,0,0,-1.2940225668077099,0,26.71607860581564
28958,28958,1,0.192,0,NA,225,9.74288837760325e-4,4,3.55382431888517e-4,53,0,0.9960317460317459,0,0,0,-1.2940225668077099,1,1.8403545344147447
6507,6507,1,0.168,0,NA,118,4.84857355880725e-4,4,2.86211275908384e-4,44,0,0.9930600387346679,0,0,0,-1.2940225668077099,0,1.873008864960011
94097,94097,1,0.18899999999999997,0,NA,216,9.331217037704519e-4,4,2.80278716165535e-4,44,0,0.9930600387346679,0,0,0,-1.2940225668077099,0,1.998806682966823
10493,10493,1,0.20600000000000002,0,NA,483,0.0021544133454700102,3,2.8318780346483596e-4,11,0,0.9968269078216719,0,0,0,-1.2940225668077099,1,3.021893597541832
