Human.Entrez.ID,Human.Gene.Name,Human.Uniprot.ID,Volgyi_2017,Neuner_2017,Sweet_2016,Shi_2014,Chang_2015,Chang_2013,Zolochevska_2018,Krivinko_2018
10211,FLOT1,O75955,0,0,1,0,1,0,0,1
5530,PPP3CA,Q08209,0,0,1,0,1,0,0,1
23312,DMXL2,Q8TDJ6,0,0,0,0,1,0,0,0
7534,YWHAZ,P63104,0,0,1,0,1,0,0,1
5213,PFKM,P08237,0,0,0,0,1,0,0,0
5478,PPIA,P62937,0,0,1,0,1,0,0,1
55690,PACS1,Q6VY07,0,0,0,0,1,0,0,0
292,SLC25A5,P05141,0,0,1,0,1,0,0,1
2806,GOT2,P00505,0,1,0,1,1,0,0,0
3329,HSPD1,P10809,0,0,1,1,1,0,0,1
9201,DCLK1,O15075,0,0,0,0,1,0,0,0
7086,TKT,P29401,0,0,0,0,1,0,0,0
7416,VDAC1,P21796,0,0,1,0,1,0,0,1
8224,SYN3,O14994,0,0,0,0,1,0,0,0
10576,CCT2,P78371,0,0,0,0,1,0,0,0
38,ACAT1,P24752,0,0,0,1,1,0,0,0
9520,NPEPPS,P55786,0,0,0,0,1,0,0,0
4684,NCAM1,P13591,0,0,1,0,1,0,0,1
4735,SEPT2,Q15019,0,0,1,0,1,0,0,1
476,ATP1A1,P05023,1,0,1,1,1,0,0,1
217,ALDH2,P05091,0,0,0,0,1,0,0,0
8396,PIP4K2B,P78356,0,0,0,0,1,0,0,0
10570,DPYSL4,O14531,0,0,0,0,1,0,0,0
93185,IGSF8,Q969P0,0,1,0,0,1,0,0,0
2934,GSN,P06396,0,0,0,0,1,0,0,0
4329,ALDH6A1,Q02252,0,0,0,0,1,0,0,0
5034,P4HB,P07237,0,0,0,0,1,0,0,0
9588,PRDX6,P30041,0,0,0,0,1,0,0,0
5518,PPP2R1A,P30153,0,0,0,0,1,0,0,0
56896,DPYSL5,Q9BPU6,0,0,0,0,1,0,0,0
26227,PHGDH,O43175,0,0,0,0,1,1,0,0
10313,RTN3,O95197,0,0,0,0,1,0,0,0
10982,MAPRE2,Q15555,0,0,0,0,1,0,0,0
3897,L1CAM,P32004,0,0,0,0,1,0,0,0
7203,CCT3,P49368,0,0,0,0,1,0,0,0
9892,SNAP91,O60641,0,0,0,0,1,0,0,0
10486,CAP2,P40123,0,0,0,0,1,0,0,0
7461,CLIP2,Q9UDT6,0,0,0,0,1,0,0,0
1938,EEF2,P13639,0,1,0,0,1,0,0,0
4129,MAOB,P27338,0,0,0,0,1,0,0,0
9948,WDR1,O75083,0,0,0,0,1,0,0,0
4704,NDUFA9,Q16795,0,0,0,1,1,0,0,0
4627,MYH9,P35579,0,0,0,0,1,0,0,0
4082,MARCKS,P29966,0,0,0,0,1,0,0,0
7384,UQCRC1,P31930,0,0,0,1,1,0,0,0
55832,CAND1,Q86VP6,0,0,0,0,1,0,0,0
3939,LDHA,P00338,0,0,1,0,1,0,0,1
5236,PGM1,P36871,0,0,0,0,1,0,0,0
8774,NAPG,Q99747,0,0,0,0,1,0,0,0
5577,PRKAR2B,P31323,0,0,0,0,1,0,0,0
4478,MSN,P26038,0,0,0,0,1,0,0,0
10963,STIP1,P31948,0,0,1,0,1,0,0,1
5037,PEBP1,P30086,0,0,0,1,1,0,0,0
7531,YWHAE,P62258,0,0,1,1,1,0,0,1
10458,BAIAP2,Q9UQB8,0,0,0,0,1,0,0,0
1431,CS,O75390,0,0,1,1,1,0,0,1
4897,NRCAM,Q92823,0,1,0,0,1,0,0,0
5160,PDHA1,P08559,0,0,0,1,1,0,0,0
29968,PSAT1,Q9Y617,0,0,0,0,1,0,0,0
3308,HSPA4,P34932,0,0,1,0,1,0,0,1
6456,SH3GL2,Q99962,0,0,0,1,1,0,0,0
3306,HSPA2,P54652,0,0,1,0,1,0,0,1
11331,PHB2,Q99623,0,0,1,1,1,0,0,1
22902,RUFY3,Q7L099,0,0,0,0,1,0,0,0
8120,AP3B2,Q13367,0,0,0,0,1,0,0,0
26047,CNTNAP2,Q9UHC6,0,0,0,0,1,0,0,0
481,ATP1B1,P05026,0,1,1,0,1,0,0,1
1191,CLU,P10909,0,0,0,0,1,0,0,0
57470,LRRC47,Q8N1G4,0,0,0,0,1,0,0,0
2039,DMTN,Q08495,0,0,0,0,1,0,0,0
2617,GARS,P41250,1,0,0,0,1,0,0,0
2026,ENO2,P09104,0,0,1,0,1,1,0,1
5594,MAPK1,P28482,0,1,0,0,1,0,0,0
7385,UQCRC2,P22695,0,0,0,1,1,0,0,0
2782,GNB1,P62873,0,0,1,0,1,0,0,1
1738,DLD,P09622,0,0,0,0,1,0,0,0
5910,RAP1GDS1,P52306,0,0,0,0,1,0,0,0
23576,DDAH1,O94760,0,0,0,0,1,0,0,0
11076,TPPP,O94811,0,0,0,0,1,1,0,0
501,ALDH7A1,P49419,0,0,0,0,1,0,0,0
22824,HSPA4L,O95757,0,0,0,0,1,0,0,0
6854,SYN2,Q92777,0,1,1,0,1,0,0,1
11332,ACOT7,O00154,0,0,0,0,1,0,0,0
4976,OPA1,O60313,0,0,0,0,1,0,0,0
140885,SIRPA,P78324,0,0,0,0,1,0,0,0
1783,DYNC1LI2,O43237,0,0,0,0,1,0,0,0
81,ACTN4,O43707,0,0,0,0,1,0,0,0
23305,ACSL6,Q9UKU0,0,0,0,0,1,0,0,0
22924,MAPRE3,Q9UPY8,0,0,0,0,1,0,0,0
5976,UPF1,Q92900,0,0,0,0,1,0,0,0
10381,TUBB3,Q13509,0,0,0,0,1,0,0,0
7532,YWHAG,P61981,0,0,0,0,1,0,0,0
7001,PRDX2,P32119,0,0,0,0,1,0,0,0
22848,AAK1,Q2M2I8,1,0,0,0,1,0,0,0
5860,QDPR,P09417,0,0,0,0,1,0,0,0
2752,GLUL,P15104,0,0,1,1,1,1,0,1
4720,NDUFS2,O75306,0,0,0,0,1,0,0,0
8659,ALDH4A1,P30038,0,0,0,0,1,0,0,0
2775,GNAO1,P09471,0,0,0,1,1,1,0,0
55605,KIF21A,Q7Z4S6,0,0,0,0,1,0,0,0
8402,SLC25A11,Q02978,0,0,1,0,1,0,0,1
161,AP2A2,O94973,0,1,1,0,1,0,0,1
23176,SEPT8,Q92599,0,0,0,0,1,1,0,0
213,ALB,P02768,0,0,0,0,1,0,0,0
4723,NDUFV1,P49821,0,0,1,1,1,0,1,1
84251,SGIP1,Q9BQI5,0,0,0,0,1,0,0,0
8803,SUCLA2,Q9P2R7,0,1,1,0,1,0,0,1
2271,FH,P07954,0,0,0,1,1,0,0,0
3983,ABLIM1,O14639,0,0,0,0,1,0,0,0
6252,RTN1,Q16799,0,1,0,1,1,0,0,0
10840,ALDH1L1,O75891,0,0,0,0,1,0,0,0
94081,SFXN1,Q9H9B4,0,0,0,0,1,0,0,0
3043,HBB,P68871,0,0,0,0,1,0,1,0
10525,HYOU1,Q9Y4L1,0,0,0,0,1,0,0,0
56850,GRIPAP1,Q4V328,0,0,0,0,1,0,0,0
4190,MDH1,P40925,0,0,1,0,1,1,0,1
4134,MAP4,P27816,0,0,0,0,1,0,0,0
