entA,interaction,entB,directed
1398,pp,23136,FALSE
1398,pp,9229,FALSE
1398,pp,22941,FALSE
1398,pp,9228,FALSE
1795,pp,2534,FALSE
2534,pp,2571,FALSE
2534,pp,9228,FALSE
2534,pp,2550,FALSE
10236,pp,2534,FALSE
2534,pp,58512,FALSE
2534,pp,85358,FALSE
2534,pp,9826,FALSE
2534,pp,8506,FALSE
2534,pp,57142,FALSE
2534,pp,9054,FALSE
23114,pp,2534,FALSE
2316,pp,2534,FALSE
2534,pp,9229,FALSE
23136,pp,2534,FALSE
2534,pp,4659,FALSE
2534,pp,51517,FALSE
2534,pp,9793,FALSE
2534,pp,8724,FALSE
2534,pp,26052,FALSE
1605,pp,2534,FALSE
2885,pp,85358,FALSE
2550,pp,2885,FALSE
2885,pp,9229,FALSE
10236,pp,2885,FALSE
2885,pp,9228,FALSE
1795,pp,2885,FALSE
2885,pp,58512,FALSE
2885,pp,4638,FALSE
22941,pp,2885,FALSE
2885,pp,3151,FALSE
2885,pp,8646,FALSE
2316,pp,2885,FALSE
2885,pp,8506,FALSE
1605,pp,2885,FALSE
2885,pp,9826,FALSE
2571,pp,2885,FALSE
2885,pp,5530,FALSE
287,pp,2885,FALSE
2885,pp,8724,FALSE
2885,pp,9793,FALSE
23114,pp,2885,FALSE
2885,pp,5532,FALSE
2885,pp,7360,FALSE
2885,pp,9054,FALSE
26275,pp,2885,FALSE
2885,pp,5799,FALSE
1742,pp,2885,FALSE
2885,pp,8570,FALSE
274,pp,2885,FALSE
5335,pp,9826,FALSE
5335,pp,6000,FALSE
5335,pp,9793,FALSE
2316,pp,5335,FALSE
4134,pp,5335,FALSE
5335,pp,9229,FALSE
5335,pp,58512,FALSE
6396,pp,6396,FALSE
1072,pp,3984,FALSE
1639,pp,4137,FALSE
1737,pp,5162,FALSE
8454,pp,9040,FALSE
5692,pp,5693,FALSE
2664,pp,2794,FALSE
2794,pp,7803,FALSE
9479,pp,9479,FALSE
10963,pp,817,FALSE
10135,pp,2512,FALSE
10135,pp,4535,FALSE
2017,pp,5058,FALSE
2017,pp,5062,FALSE
55968,pp,7415,FALSE
10273,pp,4137,FALSE
10273,pp,3312,FALSE
10273,pp,3320,FALSE
1759,pp,274,FALSE
3181,pp,3181,FALSE
351,pp,351,FALSE
3476,pp,5515,FALSE
3476,pp,5516,FALSE
3476,pp,5537,FALSE
7415,pp,80700,FALSE
10211,pp,351,FALSE
2931,pp,4137,FALSE
351,pp,4137,FALSE
4137,pp,4137,FALSE
1509,pp,5594,FALSE
2597,pp,5594,FALSE
2286,pp,5911,FALSE
1915,pp,5911,FALSE
5265,pp,5911,FALSE
2512,pp,5911,FALSE
10987,pp,5605,FALSE
10987,pp,9097,FALSE
2023,pp,2885,FALSE
2885,pp,7018,FALSE
2885,pp,51596,FALSE
1191,pp,2885,FALSE
2271,pp,2885,FALSE
2512,pp,2885,FALSE
2098,pp,2885,FALSE
10342,pp,2885,FALSE
2885,pp,7249,FALSE
2885,pp,9948,FALSE
3956,pp,998,FALSE
2286,pp,5595,FALSE
5213,pp,5595,FALSE
3337,pp,4893,FALSE
1915,pp,4893,FALSE
4893,pp,6224,FALSE
4893,pp,6717,FALSE
10617,pp,128866,FALSE
4830,pp,58497,FALSE
11171,pp,4830,FALSE
7323,pp,93664,FALSE
7334,pp,93664,FALSE
50488,pp,5911,FALSE
2549,pp,5780,FALSE
1973,pp,7458,FALSE
6786,pp,6786,FALSE
1499,pp,2932,FALSE
55611,pp,7323,FALSE
6640,pp,7336,FALSE
7336,pp,9097,FALSE
5050,pp,63893,FALSE
6136,pp,63893,FALSE
6224,pp,63893,FALSE
11345,pp,63893,FALSE
196403,pp,7323,FALSE
7323,pp,7706,FALSE
23321,pp,7323,FALSE
7334,pp,7706,FALSE
196403,pp,7335,FALSE
10617,pp,8027,FALSE
1785,pp,2017,FALSE
4830,pp,60491,FALSE
51466,pp,6709,FALSE
51466,pp,6708,FALSE
6708,pp,7408,FALSE
55740,pp,6708,FALSE
2534,pp,4137,FALSE
5058,pp,8874,FALSE
30011,pp,7316,FALSE
3984,pp,5566,FALSE
4137,pp,7534,FALSE
22919,pp,667,FALSE
351,pp,847,FALSE
5581,pp,7534,FALSE
408,pp,5602,FALSE
408,pp,6416,FALSE
4738,pp,7316,FALSE
7915,pp,7915,FALSE
7316,pp,7316,FALSE
7316,pp,8078,FALSE
10617,pp,7316,FALSE
29979,pp,7316,FALSE
1457,pp,3800,FALSE
1457,pp,1459,FALSE
1459,pp,3800,FALSE
388,pp,4831,FALSE
26227,pp,388,FALSE
388,pp,396,FALSE
1854,pp,388,FALSE
388,pp,4130,FALSE
8454,pp,997,FALSE
1445,pp,1445,FALSE
2597,pp,5230,FALSE
2597,pp,2597,FALSE
2273,pp,5621,FALSE
1267,pp,5621,FALSE
1399,pp,59338,FALSE
163,pp,6453,FALSE
10273,pp,3326,FALSE
10006,pp,2534,FALSE
10006,pp,5921,FALSE
10006,pp,5335,FALSE
10006,pp,2885,FALSE
10006,pp,1399,FALSE
10006,pp,1398,FALSE
382,pp,9043,FALSE
375,pp,9043,FALSE
3837,pp,3837,FALSE
7415,pp,7415,FALSE
5062,pp,5879,FALSE
10458,pp,7534,FALSE
7531,pp,9610,FALSE
1956,pp,6772,FALSE
6772,pp,6772,FALSE
23513,pp,5595,FALSE
23513,pp,5594,FALSE
2273,pp,5516,FALSE
1759,pp,1759,FALSE
10419,pp,8294,FALSE
10243,pp,8655,FALSE
4684,pp,4684,FALSE
348,pp,6767,FALSE
11140,pp,348,FALSE
11140,pp,7001,FALSE
10724,pp,11140,FALSE
11140,pp,3337,FALSE
1020,pp,11140,FALSE
11140,pp,351,FALSE
396,pp,998,FALSE
10458,pp,998,FALSE
9826,pp,998,FALSE
408,pp,998,FALSE
23580,pp,998,FALSE
114793,pp,998,FALSE
5058,pp,998,FALSE
5062,pp,998,FALSE
9743,pp,998,FALSE
5910,pp,998,FALSE
9349,pp,998,FALSE
6767,pp,998,FALSE
7316,pp,998,FALSE
2752,pp,4540,FALSE
10540,pp,2885,FALSE
25758,pp,2885,FALSE
2549,pp,2885,FALSE
2885,pp,3190,FALSE
2885,pp,3309,FALSE
2885,pp,4130,FALSE
2885,pp,4627,FALSE
2885,pp,399687,FALSE
2885,pp,4691,FALSE
10015,pp,2885,FALSE
25930,pp,2885,FALSE
2885,pp,9743,FALSE
2885,pp,6506,FALSE
2885,pp,6711,FALSE
10617,pp,2885,FALSE
282974,pp,2885,FALSE
2885,pp,7316,FALSE
2885,pp,54521,FALSE
147179,pp,2885,FALSE
136319,pp,5594,FALSE
29993,pp,8522,FALSE
29993,pp,6711,FALSE
29993,pp,7171,FALSE
5058,pp,9149,FALSE
3320,pp,5058,FALSE
5058,pp,5058,FALSE
5058,pp,7532,FALSE
5058,pp,7534,FALSE
5062,pp,667,FALSE
23236,pp,6711,FALSE
1213,pp,5566,FALSE
3840,pp,5879,FALSE
4627,pp,5879,FALSE
5879,pp,5910,FALSE
5879,pp,6421,FALSE
5879,pp,7316,FALSE
3799,pp,9693,FALSE
6772,pp,81,FALSE
1639,pp,6772,FALSE
2670,pp,6772,FALSE
3326,pp,6772,FALSE
50944,pp,6772,FALSE
6709,pp,6772,FALSE
6711,pp,6772,FALSE
146691,pp,54472,FALSE
10486,pp,7531,FALSE
4513,pp,7531,FALSE
7529,pp,7531,FALSE
7531,pp,7532,FALSE
7531,pp,7533,FALSE
10971,pp,7531,FALSE
23108,pp,7531,FALSE
7531,pp,7531,FALSE
10987,pp,7532,FALSE
2037,pp,7532,FALSE
23136,pp,7532,FALSE
11346,pp,7532,FALSE
2170,pp,3688,FALSE
3312,pp,60,FALSE
5216,pp,60,FALSE
60,pp,6119,FALSE
10627,pp,4638,FALSE
10728,pp,3320,FALSE
5684,pp,5684,FALSE
3417,pp,3417,FALSE
11047,pp,51377,FALSE
1072,pp,1073,FALSE
1808,pp,1808,FALSE
22924,pp,5682,FALSE
4691,pp,4691,FALSE
216,pp,217,FALSE
128,pp,5052,FALSE
162,pp,4915,FALSE
2773,pp,479,FALSE
351,pp,7165,FALSE
479,pp,5479,FALSE
479,pp,4852,FALSE
535,pp,8723,FALSE
1845,pp,8573,FALSE
2617,pp,5599,FALSE
2783,pp,5162,FALSE
2885,pp,5445,FALSE
2885,pp,7317,FALSE
2982,pp,5599,FALSE
3295,pp,5599,FALSE
3315,pp,5494,FALSE
3688,pp,5162,FALSE
427,pp,57118,FALSE
4627,pp,5515,FALSE
4684,pp,6009,FALSE
4831,pp,5868,FALSE
5578,pp,5692,FALSE
5599,pp,6181,FALSE
6921,pp,8452,FALSE
7001,pp,7534,FALSE
7415,pp,7534,FALSE
22908,pp,5578,FALSE
23191,pp,2782,FALSE
23193,pp,5599,FALSE
23193,pp,5906,FALSE
25932,pp,3326,FALSE
5567,pp,55738,FALSE
57118,pp,8452,FALSE
10617,pp,84284,FALSE
10987,pp,55738,FALSE
26060,pp,56896,FALSE
55157,pp,56896,FALSE
128,pp,128,FALSE
226,pp,226,FALSE
847,pp,847,FALSE
87,pp,9253,FALSE
387,pp,9826,FALSE
509,pp,5265,FALSE
1173,pp,6169,FALSE
1191,pp,9349,FALSE
1191,pp,7917,FALSE
1374,pp,3309,FALSE
1459,pp,5034,FALSE
1459,pp,3006,FALSE
1737,pp,8050,FALSE
1891,pp,1936,FALSE
2521,pp,4190,FALSE
2521,pp,8148,FALSE
2773,pp,5905,FALSE
2770,pp,5905,FALSE
2885,pp,7431,FALSE
2937,pp,2937,FALSE
3033,pp,6772,FALSE
3313,pp,7514,FALSE
348,pp,55738,FALSE
