entA,entB
10006,5335
10006,2885
10006,1399
10006,1398
382,9043
382,9043
375,9043
3837,3837
6622,6622
6622,6622
7415,7415
5062,5879
10458,7534
7531,9610
1956,2885
2549,5781
1956,6772
1956,6772
1956,5335
6772,6772
6772,6772
23513,5595
23513,5594
2273,5516
1759,1759
10419,8294
10243,8655
4684,4684
4684,4684
351,351
351,351
348,6767
11140,348
11140,7001
10724,11140
11140,3337
1020,11140
11140,351
396,998
10458,998
9826,998
408,998
23580,998
11135,998
114793,998
5058,998
5062,998
9743,998
5910,998
9349,998
6767,998
7316,998
2752,4540
10540,2885
2885,9229
25758,2885
2549,2885
2885,3190
2885,3309
2885,4130
2885,4627
2885,399687
2885,4691
10015,2885
25930,2885
2885,9743
2885,6506
2885,6711
10617,2885
282974,2885
2885,7316
2885,54521
147179,2885
10987,5605
136319,5594
29993,8522
29993,6711
29993,7171
5058,8874
5058,9149
3320,5058
5058,5058
5058,7532
5058,7534
5062,667
23236,6711
1213,5566
3840,5879
4627,5879
5062,5879
5058,5879
5879,5910
5879,6421
5879,7316
3799,9693
6772,81
1639,6772
2670,6772
3326,6772
50944,6772
6709,6772
6711,6772
146691,54472
10486,7531
4513,7531
7529,7531
7531,7532
7531,7533
10971,7531
23108,7531
7531,7531
10987,7532
2037,7532
23136,7532
11346,7532
2170,3688
351,351
351,351
3312,60
5216,60
60,6119
10627,4638
2512,2512
10728,3320
3320,3320
5684,5684
60,71
71,71
11235,8428
3417,3417
5701,5711
60,60
1073,60
3612,3612
5050,5050
2947,2947
27316,3190
11047,51377
1072,1073
1808,1808
22924,5682
6652,6652
4691,4691
216,217
128,5052
162,4915
2773,479
351,7165
479,5479
479,4852
535,8723
1845,8573
2617,5599
2783,5162
2885,5445
2885,7317
2982,5599
3295,5599
3315,5494
3688,5162
427,57118
4627,5515
4684,6009
4831,5868
5578,5692
5599,6181
6921,8452
7001,7534
7415,7534
7531,7532
22908,5578
23191,2782
23193,5599
23193,5906
25932,3326
5567,55738
57118,8452
10617,84284
10987,55738
26060,56896
55157,56896
128,128
216,217
226,226
847,847
87,9253
387,9826
509,5265
11135,998
1173,6169
1191,9349
1191,7917
1374,3309
1459,5034
1459,3006
1737,8050
1785,2885
1891,1936
2521,4190
2521,8148
2597,2597
2752,2752
2773,5905
2770,5905
2885,3190
2885,7431
2937,2937
3033,6772
3313,7514
3476,5515
348,55738
3735,7965
3939,3939
3939,3945
4054,5879
4513,5682
4830,4831
4852,7917
5058,8655
5447,6772
5682,5684
5682,5683
5682,5825
5684,9253
5684,9212
5869,7905
6648,6648
6782,7917
6993,7295
7360,7360
7430,7430
7531,7532
7531,7534
9588,9588
9961,9961
10015,2885
10015,6455
10061,3030
10247,4513
10454,5516
10454,5518
10728,3326
10728,3320
10971,7531
10987,7001
1399,85358
1459,23170
23530,9961
23647,5879
23647,6642
2521,27316
2885,85358
29979,4852
29979,6782
55738,7905
55740,5594
5594,85358
10016,10016
10243,10243
10454,11151
10458,57142
10935,10935
10987,85358
147179,2885
4831,4831
10243,37
5682,87
6232,81
6232,87
7295,81
8050,87
1739,5605
1956,1956
6786,6786
6786,6786
2770,54331
64077,64077
6723,6723
351,351
351,351
10972,10972
1956,1956
1956,1956
257194,257194
5818,5818
1956,2934
1956,3326
1956,2597
10092,1956
1956,7295
10971,1956
1956,7336
1778,1956
1956,5052
1956,9590
1956,2288
1956,6900
11345,1956
1956,7167
1956,4190
1956,3308
10963,1956
1956,471
1937,1956
1072,1956
1956,5864
1956,2805
1956,7184
1956,7389
1956,226
10273,1956
1956,9218
10439,1956
1173,1956
1956,8404
1956,51286
1956,6853
11047,1956
1956,23770
10540,1956
1956,2824
1956,79026
1956,382
1956,5730
1956,873
1465,1956
1956,7345
1956,5303
1956,3320
1956,6616
1956,5910
1956,3313
5621,5621
5621,5621
815,815
25930,2885
10059,10059
8237,8237
2932,4137
2932,2932
10059,10059
5499,5595
5499,5594
1845,5595
5515,5595
5515,5594
1845,5594
439,439
4905,5780
5160,54704
310,60
310,51412
310,506
310,523
310,7917
10574,310
10980,310
221184,310
1400,310
1508,310
23564,310
1915,310
2597,310
2783,310
10681,310
3032,310
310,55611
310,5162
310,5315
310,6187
26230,310
310,7114
310,7846
310,347733
10381,310
310,7431
1397,481
23564,481
11140,54862
1113,11140
11140,1428
11140,1639
11140,2475
10989,11140
396,998
54918,6613
10574,1785
1759,1785
1785,6453
1785,6187
1785,26230
1400,1808
10570,1808
2273,9590
1627,2273
11345,23192
11345,5786
11345,6187
11345,79876
11345,7534
2597,2806
2597,3735
2597,26578
2597,7531
2745,2806
2885,998
2885,28964
2885,5530
23205,2932
2932,51412
11033,2932
2932,80150
2932,738
11258,2932
1915,2932
1937,2932
2475,2932
2597,2932
2783,2932
2932,84966
2932,8570
2932,57662
2932,3799
2932,4134
10724,2932
2932,4354
2932,29959
2932,55968
2932,6176
2932,6187
2932,7846
2932,80700
2932,51569
2932,7431
2932,7511
10989,213
10989,1915
3628,8655
60,7965
3735,7965
64837,7965
5518,7965
118,81631
55738,81631
23192,81631
1211,81631
1627,81631
5909,81631
6176,81631
81631,9043
10454,80150
10454,1072
10454,1152
10454,1627
10454,2058
10454,28964
10236,10454
10454,51056
10454,51451
10015,10454
10454,5510
10454,5573
10454,114971
10454,6176
3181,5871
5595,8682
3312,5599
5315,55577
55968,7415
1397,5833
127281,5170
28964,5170
5170,8682
5170,6305
506,5300
23564,5300
5300,5315
5300,7249
5516,6176
8575,8575
396,5879
51109,51109
57142,6232
396,6391
2475,4735
3925,4735
23176,6455
23176,6457
10570,6455
6455,6455
6455,6457
6455,7534
10570,6456
2947,6456
6453,6456
129285,6456
6455,6456
30011,6456
6456,6457
26230,6456
6457,6457
30011,6457
53358,6457
1915,6622
2597,6622
6613,7431
1627,7178
6176,7178
11344,396
1627,7323
23285,7323
6176,7323
7323,7846
7323,7511
6642,7353
26230,7353
396,51569
7389,7431
1400,7415
1400,7431
3735,7431
6455,7431
7431,7431
1759,1759
1759,1759
989,989
989,989
5515,5527
2549,5781
5567,5573
3064,6622
6622,6622
3064,3064
351,351
2904,815
5265,5265
5265,5265
1457,3326
1457,490
1457,498
1457,4691
1457,821
1457,27044
1457,3181
1457,1933
1457,23122
1457,3320
1457,813
1457,9049
1457,5567
1457,1936
1457,3069
1457,1654
1457,3840
11333,1457
1457,4735
1457,51566
1457,6176
1457,6188
1457,6421
10130,1457
1457,54521
1457,4172
1457,64423
1457,27316
1457,5684
51100,51100
51100,51100
351,351
10133,667
26060,667
10006,667
10006,3895
10006,3190
10006,10580
10006,7094
1213,48
178,26060
26060,55198
26060,274
26060,667
1785,26060
26060,3315
23111,26060
10049,23066
10049,8079
10049,5236
2023,226
2023,2273
2023,3326
2023,3688
2023,3312
2023,5034
2023,5529
2023,7534
5962,7430
7430,9351
7430,9368
2273,9590
10449,10542
10542,1646
10542,1915
10542,28964
10542,3313
10542,3688
10542,6421
4673,4673
10133,1213
10133,667
10133,10133
10133,7316
10133,7415
23122,5837
1785,5837
2631,5837
3476,5837
51100,5876
51100,51100
51100,56904
51100,8887
2923,6786
2923,6786
1742,9229
128866,25930
10016,25930
25930,6456
3098,7416
1639,5499
1272,5499
1213,5499
1152,5499
1267,5499
5499,9859
1398,5499
26092,5499
286262,5499
114569,5499
4915,4915
4915,4915
6635,6636
7536,7536
3190,7536
3187,7536
3188,7536
3178,51645
3315,3315
5093,53938
10492,3190
3190,3190
27316,3190
3184,3190
26986,3190
10419,10419
3188,3188
3188,9444
5094,5094
9444,9444
10529,7791
5478,7791
7791,87
87,87
5479,7791
2549,2885
2885,2885
6386,6386
2744,2744
5518,5529
5529,5529
5499,5529
351,351
351,351
10015,2534
10015,2534
10015,2534
10015,2534
10419,23380
54585,54585
1956,1956
2885,2885
2885,2885
10458,8936
3984,5058
8659,8659
10458,10458
10458,998
5058,998
351,351
351,351
4684,7345
10458,5879
2316,2316
3326,9212
3326,815
3326,816
10645,3326
3326,817
3326,814
3326,79012
3326,818
3326,5129
3326,9149
2043,3326
3326,3984
3326,50488
3326,5871
3326,5578
3326,5581
3326,5582
2185,3326
282974,3326
2534,3326
3326,84254
2051,3326
2931,3326
3326,5609
3326,4915
3326,5567
3326,5562
3326,5579
11140,3326
3326,8453
3326,8454
3326,8452
3326,54938
3326,3326
3326,386617
3326,3959
3326,6000
23321,3326
3326,57617
11140,8452
2932,6421
2512,3064
10133,3064
26578,3064
3064,6867
3064,51466
3064,3064
3064,5064
3064,51466
23111,3064
2512,3064
3295,3295
351,351
6642,6642
1410,1410
1410,3315
2776,408
2778,408
5594,5604
351,351
351,351
1457,6622
3094,3094
3688,7094
3688,7094
1499,2534
351,6622
1399,2549
71,7408
1499,81
1398,2316
5599,5609
2475,6772
5599,998
1398,5599
387,5599
2932,5579
1499,2932
2771,3326
1499,27101
2316,818
351,811
815,87
351,4747
2017,4638
1453,6622
351,8650
2316,3326
3927,9414
3927,7791
3927,5530
351,351
10419,813
10498,9444
10419,7534
5494,5594
1399,1956
5594,5595
1399,5781
1399,5594
1399,2549
1956,3315
5595,5781
351,351
351,351
25830,5300
25830,25830
2280,6262
1956,1956
1956,1956
10059,10059
10059,10059
10075,3315
2665,3315
3315,56850
120,3315
3315,3476
2037,3315
10627,3315
3069,3315
1982,3315
3315,7533
3315,7534
10971,3315
3315,5700
3309,3315
3315,3326
3315,7431
2288,3315
3315,53918
3315,3315
3315,9446
3315,9868
3315,87
3315,81
3315,9414
3315,5786
3315,7381
2036,3315
3315,4673
3315,5687
3315,6636
10273,3315
10728,3315
1974,3315
3315,7514
3315,7178
1983,3315
3315,3320
3315,5684
3315,811
3315,7529
286,3315
3315,7353
3315,5494
2617,3315
3188,3315
3315,87178
3315,4638
3315,9352
3315,51517
163,3315
23136,3315
3315,8775
10938,3315
3315,7798
3315,55699
3315,84457
3315,3831
3315,6711
3315,6396
3315,6305
3181,3315
116988,3315
3315,7531
3315,8536
3315,8874
3308,3315
