Geodesic edge Betweenness.
0.4217 0.00133606 157
0.421404 0.0013386 158
0.420279 0.00132729 159
0.419701 0.00132565 160
0.419398 0.00132889 161
0.419106 0.00133072 162
0.418829 0.00133059 163
0.418547 0.00133116 164
0.418261 0.00133213 165
0.417953 0.00133554 166
0.416836 0.00132279 167
0.416535 0.0013254 168
0.416032 0.00131433 169
0.413318 0.00126512 170
0.412427 0.00126262 171
0.41212 0.00126591 172
0.411814 0.001269 173
0.411515 0.00127103 174
0.411207 0.00127421 175
0.410933 0.00127324 176
0.410647 0.0012736 177
0.410058 0.00127235 178
0.40916 0.00127045 179
0.408586 0.00126736 180
0.407978 0.00126836 181
0.407379 0.00126836 182
0.406793 0.00126653 183
0.406505 0.00126694 184
0.406213 0.00126766 185
0.405191 0.00124126 186
0.40347 0.00122325 187
0.403162 0.001226 188
0.402859 0.00122815 189
0.402554 0.00123043 190
0.40225 0.00123258 191
0.401943 0.00123494 192
0.40164 0.00123684 193
0.401032 0.00123748 194
0.400731 0.00123906 195
0.400426 0.00124111 196
0.399271 0.00123102 197
0.398971 0.00123236 198
0.39867 0.00123382 199
0.398362 0.00123614 200
0.398053 0.00123856 201
0.397748 0.00124043 202
0.397446 0.00124178 203
0.397147 0.00124279 204
0.396232 0.00124209 205
0.395933 0.00124304 206
0.394742 0.00123725 207
0.39415 0.00123532 208
0.393554 0.00123396 209
0.392661 0.00123016 210
0.392356 0.00123177 211
0.39146 0.00122838 212
0.391152 0.00123031 213
0.390841 0.00123255 214
0.39053 0.0012348 215
0.390223 0.00123652 216
0.389918 0.00123798 217
0.389321 0.00123645 218
0.389024 0.00123689 219
0.388718 0.00123834 220
0.388411 0.00123992 221
0.387835 0.00123562 222
0.387525 0.00123758 223
0.387214 0.0012396 224
0.386904 0.00124153 225
0.386593 0.00124345 226
0.386326 0.00123982 227
0.386024 0.00124066 228
0.385723 0.00124127 229
0.38457 0.00123009 230
0.384258 0.00123207 231
0.38395 0.00123363 232
0.383639 0.00123538 233
0.383335 0.00123634 234
0.383032 0.00123713 235
