ENTREZ.ID,GENE.NAME,DEGREE,Closeness,Bet,CC,Cl,Clnorm,SP,PR,sgG5,BRIDGE_sgG5,PROB_sgG5,MIX_sgG5,BR_CONSENSUS,BR_CONSENSUS_MAD,BR_CONSENSUS_ADJ,DE
22848,22848,1,0.235,0.0,,3026,0.0137864157606085,3,0.00024753624086402997,13,0.0,0.995392437241818,0.0,0.0,0,-1.2940225668077099,1
57584,57584,1,0.235,0.0,,3026,0.0137864157606085,3,0.00024753624086402997,13,0.0,0.995392437241818,0.0,0.0,0,-1.2940225668077099,0
51143,51143,1,0.235,0.0,,3026,0.0137864157606085,3,0.00024753624086402997,13,0.0,0.995392437241818,0.0,0.0,0,-1.2940225668077099,0
2109,2109,1,0.235,0.0,,3026,0.0137864157606085,3,0.00024753624086402997,13,0.0,0.995392437241818,0.0,0.0,0,-1.2940225668077099,0
83658,83658,4,0.239,278.820642472455,0.166666666666667,4518,0.0206110117509297,3,0.000670978464892109,13,0.19886398577282,0.9999996854176301,0.25,0.19886398577282,0,-0.41704196818684497,0
8473,8473,6,0.29,1963.68173734522,0.0666666666666667,21138,0.0966329858522283,2,0.000851645388156377,28,0.528882113015114,0.999873048705644,0.666666666666667,0.528882113015114,0,1.03832207704212,0
6710,6710,4,0.262,113.77254176836901,0.166666666666667,7128,0.0325494806079928,2,0.000588864394466874,66,0.415054723617694,0.9998318682344269,0.5,0.415054723617694,0,0.53634877249798,1
8290,8290,18,0.289,7342.392206055759,0.065359477124183,18630,0.0851610778470504,2,0.00264404326684173,19,0.531051768706332,1.0,0.5,0.531051768706332,0,1.04789015413506,0
387680,387680,2,0.235,52.353416677477895,0.0,2551,0.011613705911143002,3,0.000388978394045798,38,0.29343235838972803,0.9977918020733041,0.5,0.29343235838972803,0,0.0,0
23041,23041,2,0.24100000000000002,53.8575644387928,0.0,3470,0.0158173277041089,3,0.00037570123604333997,66,0.29343235838972803,0.9889419200728979,0.5,0.29343235838972803,0,0.0,0
8997,8997,2,0.23,85.1592571274521,0.0,2340,0.0106485653253805,3,0.000415287502681505,66,0.0,0.999968188358848,0.0,0.0,0,-1.2940225668077099,1
6712,6712,2,0.23800000000000002,45.96465350269921,0.0,2638,0.0120116548730451,3,0.000380061336482832,64,0.29343235838972803,0.9943164419150748,0.5,0.29343235838972803,0,0.0,0
10724,10724,4,0.282,218.58316246351,0.0,15625,0.0714158292204317,2,0.0005725330421886889,28,0.45863674753374206,0.9874698934885129,0.75,0.45863674753374206,0,0.728543398762123,0
23205,23205,2,0.26899999999999996,510.73520674876505,0.0,10563,0.0482616034141276,3,0.000358165286092774,14,0.29343235838972803,0.9813308580053671,0.5,0.29343235838972803,0,0.0,0
11033,11033,2,0.262,27.8843501528837,0.0,8516,0.038898367494431,2,0.000347049996027443,14,0.29343235838972803,0.9813308580053671,0.5,0.29343235838972803,0,0.0,0
80700,80700,2,0.264,95.85845833456999,0.0,8501,0.0388297556044479,3,0.000362906483139682,90,0.29343235838972803,0.9952636887363291,0.5,0.29343235838972803,0,0.0,1
80150,80150,2,0.261,80.16737841199009,0.0,9117,0.0416474172197547,2,0.000355277111310279,28,0.29343235838972803,0.993053459095017,0.5,0.29343235838972803,0,0.0,0
738,738,1,0.251,0.0,,6558,0.0299422287886342,3,0.000232477059353833,14,0.0,0.9904168663152849,0.0,0.0,0,-1.2940225668077099,0
7511,7511,2,0.258,42.1373429404022,0.0,8551,0.0390584619043916,3,0.000350244583328463,14,0.29343235838972803,0.9813308580053671,0.5,0.29343235838972803,0,0.0,0
6857,6857,4,0.24100000000000002,374.571546138324,0.0,3691,0.0168282095498603,3,0.000690774093401995,44,0.40607101600750395,0.9997469486318791,0.5,0.40607101600750395,0,0.49673105465328404,1
785,785,2,0.22399999999999998,50.631602125944205,0.0,1050,0.00474794278683201,3,0.00040641257005739,62,0.29343235838972803,0.9955710485547831,0.5,0.29343235838972803,0,0.0,0
1459,1459,7,0.281,1800.4444122482603,0.0952380952380952,16026,0.0732500537459805,3,0.0010683842980872698,47,0.382311377233226,0.999981674880355,0.5714285714285711,0.382311377233226,0,0.39195219208394105,0
